Date,Open,High,Low,Close,Adj Close,Volume
2022-07-09,0.467290,0.484265,0.466491,0.478760,0.478760,666827059
2022-07-10,0.478771,0.479429,0.457067,0.463220,0.463220,612314122
2022-07-11,0.463181,0.463181,0.433865,0.435520,0.435520,737643033
2022-07-12,0.435581,0.440906,0.417435,0.417928,0.417928,707915451
2022-07-13,0.417881,0.439730,0.406437,0.438108,0.438108,977278539
2022-07-14,0.438057,0.444419,0.417741,0.441025,0.441025,861474952
2022-07-15,0.441115,0.451560,0.433968,0.442456,0.442456,739541229
2022-07-16,0.442445,0.457927,0.432458,0.457230,0.457230,653009372
2022-07-17,0.457318,0.465061,0.443790,0.447353,0.447353,695937971
2022-07-18,0.447415,0.497246,0.446383,0.492543,0.492543,1514608156
2022-07-19,0.492078,0.524594,0.474607,0.515768,0.515768,1558576681
2022-07-20,0.515801,0.546000,0.489268,0.491043,0.491043,1559480054
2022-07-21,0.491071,0.501448,0.477235,0.500098,0.500098,929201777
2022-07-22,0.500091,0.510643,0.478904,0.483946,0.483946,783147406
2022-07-23,0.483727,0.517532,0.475516,0.517368,0.517368,837188756
2022-07-24,0.517360,0.534074,0.510632,0.513814,0.513814,910596091
2022-07-25,0.513763,0.514812,0.476237,0.476250,0.476250,747132740
2022-07-26,0.476298,0.476604,0.452105,0.467607,0.467607,753266177
2022-07-27,0.467713,0.510553,0.459825,0.510553,0.510553,1108377917
2022-07-28,0.510580,0.522948,0.492112,0.513328,0.513328,1404871202
2022-07-29,0.513228,0.544084,0.508333,0.523335,0.523335,1601170272
2022-07-30,0.523219,0.551218,0.511981,0.525576,0.525576,1247885850
2022-07-31,0.525593,0.542536,0.514951,0.517020,0.517020,875157898
2022-08-01,0.517051,0.525733,0.502531,0.514123,0.514123,647889797
2022-08-02,0.513907,0.514610,0.490221,0.496833,0.496833,709947033
2022-08-03,0.496866,0.515743,0.490236,0.500988,0.500988,553477710
2022-08-04,0.500975,0.510420,0.494889,0.499668,0.499668,499753654
2022-08-05,0.499582,0.518427,0.499514,0.517503,0.517503,536832135
2022-08-06,0.517564,0.521468,0.511206,0.511256,0.511256,370884770
2022-08-07,0.511372,0.536664,0.507668,0.527470,0.527470,495713645
2022-08-08,0.527488,0.548407,0.523633,0.536596,0.536596,782794306
2022-08-09,0.536656,0.537085,0.507641,0.514052,0.514052,636681258
2022-08-10,0.513992,0.537886,0.504061,0.537093,0.537093,816259967
2022-08-11,0.537104,0.546598,0.529891,0.531258,0.531258,819277170
2022-08-12,0.531195,0.541442,0.522035,0.540753,0.540753,538287825
2022-08-13,0.540708,0.566392,0.538688,0.559813,0.559813,930190208
2022-08-14,0.559819,0.593898,0.557554,0.570343,0.570343,1180283864
2022-08-15,0.570386,0.581010,0.545605,0.551171,0.551171,876107175
2022-08-16,0.551004,0.569267,0.549157,0.557915,0.557915,734187541
2022-08-17,0.557921,0.579925,0.532967,0.537038,0.537038,1035477916
2022-08-18,0.537300,0.542983,0.511413,0.512633,0.512633,642877241
2022-08-19,0.512698,0.512698,0.449319,0.450980,0.450980,1294433367
2022-08-20,0.450875,0.462979,0.438870,0.451388,0.451388,792647751
2022-08-21,0.451266,0.472278,0.448482,0.463546,0.463546,616272980
2022-08-22,0.463536,0.463536,0.440015,0.461446,0.461446,722091304
2022-08-23,0.461483,0.468810,0.447805,0.465207,0.465207,562953519
2022-08-24,0.465182,0.466601,0.454518,0.458109,0.458109,494717036
2022-08-25,0.458108,0.473415,0.458041,0.464999,0.464999,525337287
2022-08-26,0.464959,0.481639,0.428157,0.430863,0.430863,1299179883
2022-08-27,0.431039,0.450795,0.428077,0.449703,0.449703,733099946
2022-08-28,0.449719,0.453401,0.430049,0.430049,0.430049,519341943
2022-08-29,0.430070,0.452049,0.427682,0.450703,0.450703,587946527
2022-08-30,0.450736,0.462546,0.440018,0.452169,0.452169,640051711
2022-08-31,0.452263,0.462779,0.446055,0.446665,0.446665,521553602
2022-09-01,0.446677,0.458502,0.442476,0.457481,0.457481,582859437
2022-09-02,0.457464,0.465639,0.449913,0.454559,0.454559,525812957
2022-09-03,0.454534,0.484817,0.453994,0.480387,0.480387,778592386
2022-09-04,0.480372,0.505828,0.476805,0.503084,0.503084,907968827
2022-09-05,0.503168,0.505339,0.483885,0.499121,0.499121,646475147
2022-09-06,0.499091,0.511156,0.462991,0.463066,0.463066,982012136
2022-09-07,0.463011,0.481619,0.455477,0.479282,0.479282,693147052
2022-09-08,0.479274,0.481431,0.464569,0.479274,0.479274,647768733
2022-09-09,0.479253,0.502938,0.478677,0.502920,0.502920,858927416
2022-09-10,0.502842,0.523493,0.496362,0.512422,0.512422,995666468
2022-09-11,0.512380,0.519150,0.503308,0.509752,0.509752,705305295
2022-09-12,0.509751,0.518862,0.497820,0.501546,0.501546,856809100
2022-09-13,0.501495,0.507524,0.462914,0.468881,0.468881,1004511415
2022-09-14,0.463912,0.485709,0.463049,0.481376,0.481376,737527013
2022-09-15,0.481374,0.481406,0.463869,0.465644,0.465644,685227625
2022-09-16,0.465703,0.474130,0.456019,0.474126,0.474126,558761609
2022-09-17,0.474221,0.487726,0.473099,0.487156,0.487156,511814025
2022-09-18,0.487091,0.489621,0.444655,0.447186,0.447186,677522389
2022-09-19,0.447283,0.455685,0.434388,0.453504,0.453504,776470650
2022-09-20,0.453543,0.454071,0.438814,0.441899,0.441899,544680283
2022-09-21,0.441951,0.461842,0.432546,0.441159,0.441159,1223771049
2022-09-22,0.440876,0.465499,0.435710,0.458966,0.458966,762487961
2022-09-23,0.458951,0.479108,0.448352,0.461821,0.461821,1025328778
2022-09-24,0.461830,0.467096,0.451294,0.451600,0.451600,582129449
2022-09-25,0.451599,0.461773,0.440216,0.446188,0.446188,528836100
2022-09-26,0.446299,0.450270,0.438234,0.446757,0.446757,630690579
2022-09-27,0.446819,0.462494,0.438172,0.441890,0.441890,683067297
2022-09-28,0.441782,0.442514,0.426414,0.437290,0.437290,618645006
2022-09-29,0.437308,0.438368,0.428464,0.438170,0.438170,533583651
2022-09-30,0.438183,0.440544,0.430249,0.434414,0.434414,562475136
2022-10-01,0.434429,0.436231,0.428957,0.430293,0.430293,317805815
2022-10-02,0.430284,0.432294,0.418966,0.419633,0.419633,404886268
2022-10-03,0.419644,0.428601,0.418097,0.427998,0.427998,454947649
2022-10-04,0.428003,0.437220,0.425920,0.435765,0.435765,443212603
2022-10-05,0.435777,0.436221,0.424712,0.431273,0.431273,442089311
2022-10-06,0.431265,0.436684,0.426789,0.428687,0.428687,429115801
2022-10-07,0.428693,0.430319,0.422391,0.424320,0.424320,412845097
2022-10-08,0.424253,0.426762,0.420112,0.421736,0.421736,295762328
2022-10-09,0.421791,0.424001,0.419975,0.423072,0.423072,280279986
2022-10-10,0.423054,0.426265,0.401788,0.401801,0.401801,522186013
2022-10-11,0.401735,0.401735,0.388473,0.390540,0.390540,647675205
2022-10-12,0.390583,0.395019,0.378640,0.381300,0.381300,470666876
2022-10-13,0.381323,0.382009,0.351169,0.377638,0.377638,1059234268
2022-10-14,0.377629,0.388534,0.362047,0.366851,0.366851,563104935
2022-10-15,0.366849,0.369367,0.362083,0.363744,0.363744,349542728
2022-10-16,0.363813,0.374418,0.363813,0.370281,0.370281,337167739
2022-10-17,0.370271,0.375328,0.366599,0.372345,0.372345,360241999
2022-10-18,0.372343,0.373903,0.359318,0.361820,0.361820,435708572
2022-10-19,0.361892,0.362199,0.349577,0.350032,0.350032,430500856
2022-10-20,0.350044,0.355504,0.337724,0.340254,0.340254,497190070
2022-10-21,0.340251,0.349577,0.330994,0.349077,0.349077,513576018
2022-10-22,0.349098,0.353987,0.343961,0.351409,0.351409,345854400
2022-10-23,0.351398,0.363300,0.346602,0.362099,0.362099,394201921
2022-10-24,0.362096,0.364590,0.354384,0.357857,0.357857,389895509
2022-10-25,0.357838,0.414189,0.357710,0.401988,0.401988,1215554912
2022-10-26,0.401672,0.410212,0.396357,0.403492,0.403492,761857225
2022-10-27,0.403511,0.414268,0.388504,0.388697,0.388697,719088729
2022-10-28,0.388671,0.410745,0.380107,0.404507,0.404507,618236710
2022-10-29,0.404508,0.435729,0.402261,0.419778,0.419778,855151911
2022-10-30,0.419864,0.421159,0.400375,0.406047,0.406047,577564479
2022-10-31,0.406030,0.415174,0.398713,0.406336,0.406336,569992895
2022-11-01,0.406289,0.414435,0.399925,0.401402,0.401402,452398724
2022-11-02,0.401385,0.407748,0.382296,0.386076,0.386076,741360035
2022-11-03,0.386060,0.398447,0.385136,0.389420,0.389420,445099982
2022-11-04,0.389397,0.425307,0.388812,0.421525,0.421525,909794346
2022-11-05,0.421525,0.436214,0.420775,0.426735,0.426735,701622249
2022-11-06,0.426749,0.430276,0.403005,0.403005,0.403005,495843423
2022-11-07,0.402966,0.415743,0.399029,0.404259,0.404259,554735710
2022-11-08,0.404234,0.413486,0.353258,0.371834,0.371834,1420168187
2022-11-09,0.371961,0.375250,0.312378,0.317837,0.317837,1446651845
2022-11-10,0.317892,0.376563,0.314274,0.368977,0.368977,1353707790
2022-11-11,0.368967,0.373032,0.343391,0.354667,0.354667,595121832
2022-11-12,0.354899,0.355834,0.338529,0.339144,0.339144,389700815
2022-11-13,0.339182,0.344869,0.327357,0.330127,0.330127,405636157
2022-11-14,0.330123,0.340556,0.315946,0.331849,0.331849,484659345
2022-11-15,0.331874,0.344129,0.330337,0.337009,0.337009,312070544
2022-11-16,0.336964,0.343930,0.325434,0.332382,0.332382,279986402
2022-11-17,0.332421,0.334028,0.319963,0.324859,0.324859,238288352
2022-11-18,0.324869,0.332156,0.321397,0.326221,0.326221,223268757
2022-11-19,0.326217,0.331688,0.323074,0.328512,0.328512,160053174
2022-11-20,0.328513,0.330734,0.311079,0.312307,0.312307,241625735
2022-11-21,0.312300,0.312622,0.297288,0.304548,0.304548,402254597
2022-11-22,0.304524,0.315869,0.299104,0.311922,0.311922,303965817
2022-11-23,0.312413,0.319017,0.309881,0.317046,0.317046,325180832
